Marka,BirimMaliyet,SatisAdet
BR-BA_1100,0.12596638,0.018564286
BR-CA_1105,0.166753846,0.000208929
BR-DA_1110,0.179214438,0.319101786
BR-EA_1115,0.087105081,0.003592857
BR-FA_1120,0.018279471,0.005535714
BR-GA_1125,0.031595468,0.030673214
BR-HA_1130,0.251240887,0.0010875
BR-IA_1135,0.072480194,0.003796429
BR-JA_1140,0.119496726,0.092625
BR-KA_1145,0.543272389,0.001657143
BR-LA_1150,0.037921215,0.011566071
BR-MA_1155,0.22903595,0.002882143
BR-NA_1160,0.090715795,0.060471429
BR-OA_1165,0.021808399,0.173051786
BR-PA_1170,0.179521923,7.14E-05
BR-RA_1175,0.04136101,0.001844643
BR-SA_1180,0.018957642,0.001646429
BR-TA_1185,0.081841247,0.025798214
BR-UA_1190,0.116452547,0.003267857
BR-VA_1195,0.223588142,0.029816071
BR-YA_1200,0.233369423,0.044269643
BR-ZA_1205,0.326801727,0.0009625
BR-BA_1210,0.139214377,0.013285714
BR-CA_1215,0.034290647,0.0062875
BR-DA_1220,0.006182212,2.86E-05
BR-EA_1225,0.025367815,0.002919643
BR-FA_1230,0.191201099,0.0007125
BR-GA_1235,0.044676977,0.096173214
BR-HA_1240,0.015135865,0.000428571
BR-IA_1245,0.034678543,3.39E-05
BR-JA_1250,0.040239896,0.000316071
BR-KA_1255,0.162880079,0.007916071
BR-LA_1260,0.015438632,0.0008875
BR-MA_1265,0.25274584,0.011492857
BR-NA_1270,0.506977778,0.00575
BR-OA_1275,0.046860188,0.006253571
BR-PA_1280,0.073768813,0.002169643
BR-RA_1285,0.23249543,0.049778571
BR-SA_1290,0.025457952,0.004710714
BR-TA_1295,0.067011724,0.116008929
BR-UA_1300,0.293647014,0.010285714
BR-VA_1305,0.096466005,5.54E-05
BR-YA_1310,0.357309717,3.39E-05
BR-ZA_1315,0.492063071,0.016371429
BR-BA_1320,0.229701474,0.003810714
BR-CA_1325,0.02181705,0.003605357
BR-DA_1330,0.139735,0.000107143
BR-EA_1335,0.040155407,0.005535714
BR-FA_1340,0.15506572,0.011453571
BR-GA_1345,0.273925404,0.001157143
BR-HA_1350,0.169270361,0.020864286
BR-IA_1355,0.125847291,0.1113625
BR-JA_1360,0.147307172,0.001846429
BR-KA_1365,0.085206743,0.007991071
BR-LA_1370,0.26744263,0.000553571
BR-MA_1375,0.0394541,0.000758929
BR-NA_1380,0.013076923,1.79E-06
BR-OA_1385,0.134380647,0.003769643
BR-PA_1390,0.033958771,0.002476786
BR-RA_1395,0.369376672,0.000273214
BR-SA_1400,0.157150829,0.006805357
BR-TA_1405,0.356928397,0.003607143
BR-UA_1410,0.050107937,0.0001125
BR-VA_1415,0.043731507,0.011605357
BR-YA_1420,0.095413161,0.001773214
BR-ZA_1425,0.0078795,0.118017857
BR-BA_1430,0.145096993,0.004869643
BR-CA_1435,0.058552402,0.044414286
BR-DA_1440,0.020901377,0.005425
BR-EA_1445,0.344306065,0.000278571
BR-FA_1450,0.035560962,0.001978571
